listing,price,brand,size
VGUC cross straps lace covered bag with crossstrap.,13.0,,"Size: 8"" x 6"""
COACH Medium Wristlet Animal Print,39.0,Coach,Size: 5” x 8” approximately
"IKEA SÄCKKÄRRA Shopping bag, white/blue, 14 ½x22 ½x15 ¼‎ ""/19 gallon
          
      NWT",11.0,IKEA,Size: OS
Black Nine West tote bag with shoulder straps and a detachable crossbody strap,13.0,Nine West,Size: OS
Clutch bag BCBGeneration,22.0,BCBGeneration,Size: OS
MMS BACKPACK “THAT’S BANANAS”! SLIGHT SMUDGE UNDER THE LETTER “T” ON THE FRONT,30.0,MMS Design Studio,Size: OS
"Burberry Fragrances Large Black Mesh Tote Bag
          
      NWT",60.0,Burberry,Size: OS
Michael Kors Bag Fob Purse Tag,18.0,Michael Kors,Size: OS
"Minnie-Inspired Red Bow Wallet Organizer Long Zip-Around Clutch 3 Compartments
          
      NWT",15.0,Minnie Mouse,Size: OS
L.A.M.B. Gwen Stefani Trompe L'oeil Wallet Cursive Love Angel Music Baby  #746,240.0,L.A.M.B.,Size: OS
"NEW Rae Dunn “sweet” canvas bag
          
      NWT",20.0,Rae Dunn,Size: OS
Kate Spade Wellesley Cream Satchel,30.0,kate spade,Size: OS
Coach Y2K Teal Kisslock Wallet,150.0,Coach,Size: OS
Kate Spade Staci Colorblock Laptop Tote,165.0,kate spade,Size: OS
Gucci Floral Wallet on Chain Clutch,765.0,Gucci,Size: OS
Saint Laurent Black Clutch,850.0,Saint Laurent,Size: OS
Kavu Wave Tie Dye Adult Garibaldi Go Crossbody Zipup Bag,14.0,Kavu,Size: OS
"CARE BEARS X FOREVER 21 | 40TH ANNIVERSARY PLUSH BACKPACK
          
      NWT",40.0,Care Bears,Size: OS
Fossil Tessa Geometric Print Coated Canvas Satchel/Crossbody Bag Black SHB1471,35.0,Fossil,Size: OS
"Kate Spade Leila Convertible Leather Mini Pachette Bag Snakeskin Blue
          
      NWT",119.0,kate spade,Size: OS
"Disney Loungefly SDCC Limited Edition Bedtime Stitch Glow Zip Around Wallet
          
      NWT",85.0,Loungefly,Size: OS
"Michael Kors Jet Set Travel Envelope LG Continental Wallet Metallic Teal
          
      NWT",78.0,Michael Kors,"Size: 7.5""W X 4""H X1.75""D"
Genuine Leather Wristlet Clutch Wallet Purses Small Crossbody Bags,57.0,,Size: OS
"Sharif Metallic Bag
          
      NWT",169.0,Sharif,Size: OS
💯% AUTHENIC FENDI Vitello Continental Wallet Ardesia,190.0,Fendi,Size: OS
Authentic Coach Medium/Lg Canvas Leather Signature Logo Shoulder Bag (Pre-Owned),79.0,Coach,Size: OS
Vintage Whiting & Davis Co. Regency Mesh Kiss Lock Purse Castlecore Clut…,45.0,Whiting & Davis,"Size: 6,5"" X 5,5"""
"Kate Spade Mini Emelyn Briar Lane Floral Quilt Leather Crossbody
          
      NWT",325.0,kate spade,Size: OS
ED HARDY Tiger Dust Bag LARGE,18.0,Ed Hardy,Size: OS
SOLE SOCIETY WOMEN'S DESTIN‎ CROSSBODY BAG 2 VEGAN STUDDED WHIPSTICH CAMEL VEGAN,99.0,Sole Society,Size: OS
COACH Vintage Ritchie Bag Crossbody zip black,167.0,Coach,Size: OS
Fendi  Vitello Cruise F is Fendi Continental Envelope Wallet Tortora - Preowned,295.0,Fendi,Size: Length: 7.50 in Height: 3.50 in Width: 0.75 in
Michael Kors Black Leather Crossbody Shoulder Bag,35.0,Michael Kors,Size: OS
Pinzon Striped Crossbody Bag with Tassels,20.0,Pinzon,Size: OS
Snake Skin Print Guitar Crossbody Shoulder Strap,20.0,,Size: OS
Chinese Laundry: Large Black & White,20.0,Chinese Laundry,Size: OS
VTG Atlantic Floral Tapestry Bag Carry On w Keys! Toiletry Luggage Structured,50.0,Atlantic,Size: OS
New UO woven handbag with attachable strap,40.0,Urban Outfitters,Size: OS
Ocaba Paris Fuzzy Wool Mini Bag Dark Grey,8.0,Ocaba Paris,Size: OS
"Bay Sky XL Pink Raffia Beach Tote Bag NWT Zipper Close Lined San Diego Hat Co
          
      NWT",20.0,Bay Sky,Size: OS
LeSportsac Deluxe Everyday Bag Impressionist Flower Black Floral Purse Retired,75.0,Lesportsac,Size: OS
"New Gift Gorgeous embossed leather cowhide jewelry case holder travel organizer
          
      Boutique",57.0,,Size: OS
"Mint Red and Gold Bow Keychain
          
      NWT",25.0,Mint,Size: OS
"•Draper James• Stylish Straw Tote W/Scarf  NWT
          
      NWT",43.0,Draper James,Size: OS
Lee Radziwill Petite Double Bag,698.0,Tory Burch,Size: OS
40. Oh‎ Joy! Women’s Elegant Gray and Coral Baby Bag,22.0,oh joy!,Size: OS
Under The Tree Sunrise/Sunset Large Minimalist Crossbody NWOT,150.0,under the tree,Size: OS
NWOT SHEEPSKIN GRAY LEATHER HOBO BAG,125.0,fayecreations,Size: OS
Woven Crossbody Bag‎ Circle Purse Shoulder Bag Toggle Closure Small,10.0,,Size: OS
"🆕NWT Kate Spade Bixby Place Elena Black Patent Leather Handbag
          
      Boutique",195.0,kate spade,Size: OS
Small Burlap Colorful Purse Shoulder Bag African,25.0,None and/or Unknown,Size: OS
"Kate Spade New York x Target Champagne & French Fries Beaded Clutch NWT
          
      NWT",50.0,kate spade,Size: 6.1 Inches (H) x 8.26 Inches (W) x .39 Inches (D)
Coach Slim Turnlock Crossbody Bag in Brick Red,127.0,Coach,Size: small
Coach Elegant White Quilted Shoulder Bag,160.0,,Size: OS
CHANEL Cambon Ligne Zip Wallet Organizer Black Quilted Leather Hot Pink,1038.0,CHANEL,Size: Approx: 9” L x 1”W x 5”H
HOBO Vida Small Tote Crossbody Bag Purse Micro Pebbled Leather Burgundy “Port”,100.0,HOBO,Size: OS
Louis Vuitton Vernis Wallet in Light Yellow,224.0,Louis Vuitton,Size: OS
RARE Coach Medium Id Zip Wallet In Signature Canvas With Love Print Purses Bag,99.0,Coach,Size: OS
🇺🇲Dooney & Bourke Vintage Cabriolet  Backpack made in  USA,100.0,Dooney & Bourke,Size: OS
Vintage Coach Y2K Signature C Penelope Shoulder Bag,89.0,Coach,Size: OS
"Impact Aware Recycled Canvas Pumpkin Patch Grey Tote Bag Farmer’s Market NWT
          
      NWT",18.0,Aware,Size: OS
Vintage Coach RED Willis -9927 -Costa Rica,499.0,Coach,Size: OS
"DEZI Skin Pack It All Multi Purpose Hanging Travel Bag Soft Hook PU Leather
          
      NWT",40.0,DEZI,Size: OS
VS PINK XL Red Tote Bag Y2K Love Rock & Roll Messenger,58.0,PINK,Size: OS
London Fog Brown Crocodile Embossed Tote,22.0,London Fog,Size: OS
Vintage Y2K Guess Black Croc-Embossed Patent Leather Medium Shoulder Bag,30.0,Guess,Size: OS
Coach wristlet/wallet.,65.0,Coach,Size: OS
"Badgley Mischka Pink Tweed Bag
          
      Boutique",45.0,Badgley Mischka,Size: OS
"Pretty Sumple Nadya Nylon Bum Bag *ANTHROPOLOGIE*
          
      NWT",30.0,Pretty Simple,Size: OS
"Anime Demon Slayer Shoulder Crossbody Bag
          
      NWT",25.0,Source Unknown,Size: OS
"Auth Louis Vuitton Damier Ebene Siena
PM 2Way Bag W/Box/Dust Bag",1395.0,Louis Vuitton,Size: OS
Chanel Sequin Mini Backpack Waterfall Blue Tri-color Bag Rare Light Limited Ed.,3475.0,CHANEL,Size: OS
Southwestern Shoulder Bag Womens Tan Brown Handwoven Fringe Woven Southwestern,28.0,unbranded,Size: OS
Gucci YEAR OF THE TIGER Bag,1300.0,Gucci,Size: OS
Lancôme Black White Red Shiny Vinyl Shoulder Bag or Tote Bag GUC,13.0,Lancome,Size: OS
Dooney & Bourke Teal and Tan Satchel,80.0,Dooney & Bourke,Size: OS
KATE SPADE Burgundy Zipper Wallet,54.0,kate spade,Size: OS
"Laudree Shopping , a Laudree macaron booklet & 3 napkins
          
      NWT",10.0,Laudree,Size: OS
Lululemon Everywhere Crossbody Belt Bag Wordmark Black and Gold Logo,40.0,lululemon athletica,Size: OS
NWOT Tory Burch Kira Black Leather Tri-fold Wallet 🖤💛🎁,185.0,Tory Burch,Size: OS
Brahmin Vintage Smooth Cream Leather Bag,125.0,Brahmin,Size: OS
Chanel Ligne Cambon Lambskin Quilted Bag,2598.0,CHANEL,Size: OS
Skip Hop Duo Signature Striped Large Diaper Bag,40.0,Skip Hop,Size: OS
ETIENNE AIGNER ADELINE LEATHER  CAMERA BAG PURSE CROSSBODY,67.0,Etienne Aigner,Size: OS
"Michael Kors Large Charlotte Tote Bag Cider Color
          
      NWT",128.0,Michael Kors,Size: Medium
"Patricia Nash SCAFATI Canteen Shaped Crossbody Bag SMOKE PHYTON nwt
          
      NWT",86.0,Patricia Nash,Size: OS
Prada Black Nylon Tote Bag Sleek Minimalist Design,280.0,Prada,Size: OS
Gently Loved Dooney & Bourke Cabriolet  Tote Bag,45.0,Dooney & Bourke,Size: OS
"Purse Black Multicolor crossbody satchel bag chic stylish graffiti mini bag
          
      NWT",40.0,Purse,Size: OS
Urban Outfitters UO Sammi Hobo Bag,35.0,Urban Outfitters,Size: OS
Louis Vuitton Cherry Design Mini Bag in Brown and Tan,356.0,Louis Vuitton,Size: OS
A New Day Beige Zip Pouch,25.0,a new day,Size: OS
"Cow Print Tri-Fold wallet‎ with optional personalization on the inside
          
      NWT",18.0,,Size: OS
Michael Kors Sinclair Grab Tote Ocean Blue,89.0,Michael Kors,Size: OS
"Isaac Mizrahi Wristlet, Gently Used",27.0,Isaac Mizrahi,Size: OS
Western Tote Bag,48.0,,Size: OS
Cole Haan satchel,35.0,Cole Haan,Size: OS
LIKE 🆕 CORNER ZIP WRISTLET IN SIGNATURE CANVAS (COACH F58035) KHAKI/BLUE/SILVER,26.0,Coach,Size: OS
"BP Mint Green Tote Bag L-II
          
      NWT",9.0,bp,Size: OS
"NWT - 32 Degrees Unisex Crossbody Clear Bag
          
      NWT",18.0,32 Degrees,Size: OS
"Brand new***Victoria’s Secret Black/Red Plaid Tote Handbag Purse
          
      NWT",20.0,Victoria's Secret,Size: OS
NWOT Vintage Dooney & Bourke White and Blue Heart Pattern Wristlet,40.0,Dooney & Bourke,Size: OS
"Kipling Leopard Print Textile Padded Wallet Organizer  7,5"" X 4""",25.0,Kipling,"Size: 7,5""X4"""
Turkish Wool Kilim Carpe backpack-bag Bohemian Tapestry Leather Straps Indiecore,100.0,Source Unknown,Size: OS
"Kate Spade Minnie Mouse Wallet NWT
          
      Boutique",115.0,kate spade,"Size: 3.72"" x 4.36"" x 1.12"""
